City_ID,City,Country,Max Temp,Current,Lat,Lng,Hotel Name
9,Columbus,US,78.01,overcast clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
16,Maxixe,MZ,77.0,few clouds,-23.8597,35.3472,Oceano
17,Mount Isa,AU,77.0,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
19,Vung Tau,VN,81.14,broken clouds,10.345999999999998,107.0843,Green hotel
20,Sao Filipe,CV,77.0,clear sky,14.8961,-24.4956,Tortuga B&B
24,San Antonio,US,80.6,few clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
25,Dingle,PH,75.54,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
43,Grand Gaube,MU,80.01,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
44,Paragominas,BR,84.38,scattered clouds,-2.9667,-47.4833,.
45,Axim,GH,82.47,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
47,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
52,Puerto Ayora,EC,81.0,light intensity drizzle,-0.7393,-90.3518,Finch Bay Galapagos Hotel
53,Rock Sound,BS,75.54,broken clouds,24.9,-76.2,Rock Sound Club
56,Rikitea,PF,78.75,clear sky,-23.1203,-134.9692,Pension Maro'i
58,Arraial Do Cabo,BR,84.2,clear sky,-22.9661,-42.0278,Pousada Porto Praia
68,Hithadhoo,MV,83.77,broken clouds,-0.6,73.0833,Scoop Guest House
69,Olinda,BR,78.8,light rain,-8.0089,-34.8553,Hotel Albergue de Olinda
71,Avarua,CK,77.0,scattered clouds,-21.2078,-159.775,Paradise Inn
74,Faanui,PF,81.9,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
77,Vila Velha,BR,81.0,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
78,Castro,BR,78.4,clear sky,-24.7911,-50.0119,CHACARA BAILLY
81,Matamoros,MX,87.8,clear sky,25.5333,-103.25,Quinta Belem
82,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
84,Ipora,BR,84.43,clear sky,-16.4419,-51.1178,Oásis Motel
85,San Patricio,US,82.4,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
87,Shadegan,IR,80.6,broken clouds,30.6497,48.6647,مسافر خانه ابو ولید
93,Puerto Baquerizo Moreno,EC,80.6,broken clouds,-0.9,-89.6,Hotel los Algarrobos
94,Akyab,MM,78.93,clear sky,20.15,92.9,Hotel Memory
95,La Asuncion,VE,84.2,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
102,Kavieng,PG,78.51,light rain,-2.5744,150.7967,Nusa Island Retreat
107,Georgetown,MY,80.01,scattered clouds,5.4112,100.3354,Cititel Penang
110,Warri,NG,82.08,overcast clouds,5.5167,5.75,BON Hotel Delta
112,Koumac,NC,76.37,overcast clouds,-20.5667,164.2833,Le Monitel
113,East Hemet,US,75.99,broken clouds,33.74,-116.9389,Vagabond Inn Hemet
125,Atuona,PF,80.55,broken clouds,-9.8,-139.0333,Villa Enata
127,Gamboma,CG,78.01,light rain,-1.8764,15.8644,Residence N'Keni
134,Isangel,VU,77.18,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
136,Pemangkat,ID,78.69,broken clouds,1.1667,108.9667,Kost H.Syamsuddin
139,Dong Hoi,VN,75.38,few clouds,17.4833,106.6,Nam Long Hotel
143,Florida,US,89.01,clear sky,28.7505,-82.5001,Sportsmens Cove
146,Siavonga,ZM,75.22,few clouds,-16.5382,28.7088,Lavongora Waterfront Lodge
149,Rincon,US,77.0,broken clouds,32.296,-81.2354,Days Inn Rincon
151,Bandarbeyla,SO,79.93,few clouds,9.4942,50.8122,JABIR HOTEL
153,Vao,NC,78.53,heavy intensity rain,-22.6667,167.4833,Hotel Kou-Bugny
155,Maragogi,BR,80.4,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
159,Butaritari,KI,81.23,light rain,3.0707,172.7902,Isles Sunset Lodge
160,Sena Madureira,BR,76.37,overcast clouds,-9.0656,-68.6569,Hotel Central
162,Bambous Virieux,MU,80.01,scattered clouds,-20.3428,57.7575,Casa Tia Villa
169,Tautira,PF,80.6,light rain,-17.7333,-149.15,Pension Oaoa
176,Najran,SA,84.2,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
178,Sao Felix Do Xingu,BR,87.51,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
184,Hambantota,LK,80.29,clear sky,6.1241,81.1185,Bungalow 63
186,Kavaratti,IN,82.99,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
188,Mormugao,IN,84.2,scattered clouds,15.4,73.8,Coconut Creek Resort
192,Namatanai,PG,78.37,light rain,-3.6667,152.4333,Namatanai Hotel
194,Harper,LR,82.35,overcast clouds,4.375,-7.7169,Screensaver
195,Tutoia,BR,89.6,scattered clouds,-2.7619,-42.2744,Pousada Guará's
196,Sao Joao Da Barra,BR,86.0,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
197,Itarema,BR,85.14,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
199,Guiratinga,BR,88.14,few clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
201,El Retorno,CO,77.92,overcast clouds,2.3302,-72.6276,Hostal la posada de Rita
202,Lakatoro,VU,78.01,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
204,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
209,Ponnani,IN,84.2,haze,10.767000000000001,75.9252,Rouba Residency
210,Saint-Pierre,RE,80.6,light rain,-21.3393,55.4781,Lindsey Hôtel
211,Anloga,GH,86.0,few clouds,5.7947,0.8973,Pin Drop Hotel
213,Balkanabat,TM,78.57,clear sky,39.5108,54.3671,Nebitchi Hotel
214,Namibe,AO,79.32,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
216,Pitimbu,BR,78.8,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
217,Bengkulu,ID,76.08,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
218,Poum,NC,79.07,overcast clouds,-20.2333,164.0167,Gîte kajeon
219,Kloulklubed,PW,77.0,broken clouds,7.0419,134.2556,Storyboard Beach Resort
221,Luganville,VU,76.46,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
227,Skeldon,GY,82.49,overcast clouds,5.8833,-57.1333,Rits Hotel
228,Cabo San Lucas,MX,77.0,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
240,Kanigiri,IN,79.09,clear sky,15.4,79.5167,Khasim kollafaram center
242,Buraydah,SA,84.2,clear sky,26.326,43.975,فندق راحة السلام
248,Road Town,VG,82.4,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
254,Lorengau,PG,80.47,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
260,Cockburn Town,TC,80.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
261,Cayenne,GF,82.4,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
265,Quatre Cocos,MU,80.01,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
266,Mandera,KE,89.71,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
268,Caravelas,BR,81.73,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
274,Matadi,CD,76.62,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
277,Bambanglipuro,ID,79.03,moderate rain,-7.95,110.2833,Puri Brata
280,Nyaunglebin,MM,77.4,few clouds,17.95,96.7333,Royal Motel
283,Sal Rei,CV,75.2,few clouds,16.1833,-22.9167,Marine Club Beach Resort
284,Silva Jardim,BR,84.2,clear sky,-22.6508,-42.3917,Pousada Ipuca
288,Port Blair,IN,81.95,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
297,Port Moresby,PG,75.2,scattered clouds,-9.4431,147.1797,Lamana Hotel
300,Marawi,PH,75.99,overcast clouds,7.9986,124.2928,Derogongan Residence
