City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current
0,Rotifunk,8.2333,-12.6833,86.07,64,65,9.19,SL,2021-04-10 18:04:41,broken clouds
1,Lyuban,52.7985,28.0048,46.0,68,16,8.59,BY,2021-04-10 18:04:41,few clouds
2,Praia Da Vitoria,38.7333,-27.0667,60.8,94,75,17.81,PT,2021-04-10 18:04:41,broken clouds
3,Tsurugi,36.45,136.6333,37.4,93,0,3.44,JP,2021-04-10 18:04:42,clear sky
4,Fauske,67.2588,15.3918,35.01,90,100,10.25,NO,2021-04-10 18:04:42,snow
5,Yellowknife,62.456,-114.3525,6.01,60,20,11.5,CA,2021-04-10 18:01:24,few clouds
6,Constitucion,-35.3333,-72.4167,63.41,56,0,12.88,CL,2021-04-10 18:01:57,clear sky
7,Fort Payne,34.4442,-85.7197,66.99,77,90,9.22,US,2021-04-10 18:04:42,overcast clouds
8,Bluff,-46.6,168.3333,57.0,93,98,3.0,NZ,2021-04-10 18:02:19,light rain
9,Columbus,39.9612,-82.9988,78.01,41,90,18.41,US,2021-04-10 18:03:25,overcast clouds
10,Punta Arenas,-53.15,-70.9167,53.6,58,40,20.71,CL,2021-04-10 18:04:19,scattered clouds
11,Albany,42.6001,-73.9662,73.99,39,0,4.63,US,2021-04-10 18:00:12,clear sky
12,Berlevag,70.8578,29.0864,28.47,70,88,14.12,NO,2021-04-10 18:04:43,overcast clouds
13,Launceston,-41.45,147.1667,39.0,87,40,10.36,AU,2021-04-10 18:04:43,scattered clouds
14,Pozoblanco,38.3791,-4.8483,60.8,88,40,4.61,ES,2021-04-10 18:04:44,scattered clouds
15,Saint George,37.1041,-113.5841,70.0,17,1,2.24,US,2021-04-10 18:00:09,clear sky
16,Maxixe,-23.8597,35.3472,77.0,78,20,6.06,MZ,2021-04-10 18:04:44,few clouds
17,Mount Isa,-20.7333,139.5,77.0,36,54,19.57,AU,2021-04-10 18:04:44,broken clouds
18,Busselton,-33.65,115.3333,66.0,64,100,5.99,AU,2021-04-10 18:00:45,overcast clouds
19,Vung Tau,10.346,107.0843,81.14,80,73,22.75,VN,2021-04-10 18:04:14,broken clouds
20,Sao Filipe,14.8961,-24.4956,77.0,60,6,9.71,CV,2021-04-10 18:02:35,clear sky
21,Ntcheu,-14.8203,34.6359,60.78,84,99,3.27,MW,2021-04-10 18:04:45,overcast clouds
22,Cape Town,-33.9258,18.4232,66.2,77,0,12.66,ZA,2021-04-10 18:04:45,clear sky
23,Mar Del Plata,-38.0023,-57.5575,68.0,77,75,17.27,AR,2021-04-10 18:04:45,light rain
24,San Antonio,29.4241,-98.4936,80.6,22,20,16.11,US,2021-04-10 18:02:34,few clouds
25,Dingle,10.9995,122.6711,75.54,82,57,5.59,PH,2021-04-10 18:01:52,broken clouds
26,Kjollefjord,70.9457,27.3465,29.32,72,92,15.28,NO,2021-04-10 18:04:46,overcast clouds
27,Shiraoi,42.55,141.35,32.0,86,75,3.47,JP,2021-04-10 18:04:46,broken clouds
28,Klaksvik,62.2266,-6.589,30.2,55,40,11.5,FO,2021-04-10 18:02:09,light snow
